timestamp,username,total_commits,avg_commits_per_week,lines_added,lines_deleted,net_lines,prs_created,prs_merged,avg_pr_turnaround_hours,review_comments,prs_reviewed,active_repos_count,active_repos,analysis_period_weeks,start_date,end_date
2025-09-05T09:58:26.709743+00:00,dk000-simreka,62,5.17,878,80,798,0,0,0.00,0,0,10,"Automation-Mississippi, Tigris-BE, Tigris-FE, base-backend, base-frontend, demo-frontend, new_stack_calc, nile-backend, nile-frontend, process-simulation-service",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,mk000-simreka,47,3.92,279647,66617,213030,5,4,58.31,7,11,1,thermo_package,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,yo-000-sim,42,3.50,37923,29193,8730,20,14,34.98,0,0,2,"base-backend, base-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,pk000-simreka,32,2.67,11415,10131,1284,12,12,12.83,0,0,4,"base-backend, base-frontend, demo-backend, demo-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,rk000-simreka,20,1.67,1358,623,735,1,1,0.27,0,0,1,process-simulation-service,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,Ad-000-sim,17,1.42,41066,15861,25205,1,1,0.02,0,0,2,"Automation-Mississippi, git-kt",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,shiv-000-sim,17,1.42,949,160,789,5,5,25.30,0,0,2,"base-backend, base-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,sp-000-sim,14,1.17,71474,65997,5477,16,12,3.63,0,0,1,Project-Bheeshma,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,jl000-simreka,3,0.25,62869,60324,2545,1,1,0.06,0,1,1,Project-Bheeshma,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,vm000-simreka,2,0.17,4571,1395,3176,0,0,0.00,3,6,1,thermo_package,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,a000-simrek,1,0.08,1069,0,1069,0,0,0.00,0,0,1,QA_Automation,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,rks000-simreka,1,0.08,3309,0,3309,0,0,0.00,0,0,1,work_location_analyser,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,alzyod,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,d000-simreka,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,patelsimreka,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,rr000-simreka,0,0.00,0,0,0,10,9,0.43,0,63,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,aj000-simreka,0,0.00,0,0,0,60,60,0.02,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,kg000-simreka,0,0.00,0,0,0,1,1,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,ak000-simreka,0,0.00,0,0,0,3,3,0.31,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,bala000-simreka,0,0.00,0,0,0,38,37,2.34,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,am000-simreka,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,Mmadan-2025,0,0.00,0,0,0,33,28,6.32,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,Av-000-Sim,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,DS-000-sim,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,Vi-000-sim,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,nilesa-simreka,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,AB-000-sim,0,0.00,0,0,0,0,0,0.00,0,0,0,,12,2025-06-13,2025-09-05
